school,stadium,capacity,city,state
Purdue Boilermakers,Ross–Ade Stadium,61441,West Lafayette,IN
Rice Owls,Rice Stadium,47000,Houston,TX
Rutgers Scarlet Knights,SHI Stadium,52454,Piscataway,NJ
Sam Houston State,Elliott T. Bowers Stadium[O 1],14000,Huntsville,TX
San Diego State Aztecs,Snapdragon Stadium,35000,San Diego,CA
San Jose State,CEFCU Stadium,18265,San Jose,CA
South Alabama Jaguars,Hancock Whitney Stadium,25450,Mobile,AL
South Carolina Gamecocks,Williams–Brice Stadium,77559,Columbia,SC
South Florida Bulls,Raymond James Stadium,65857,Tampa,FL
Southern Methodist (SMU) Mustangs,Gerald J. Ford Stadium,32000,University Park[k],TX
Southern Miss Golden Eagles,Carlisle-Faulkner Field at M.M. Roberts Stadium,36000,Hattiesburg,MS
Stanford Cardinal,Stanford Stadium,50424,Stanford,CA
Syracuse Orange,JMA Wireless Dome,42784,Syracuse,NY
TCU Horned Frogs,Amon G. Carter Stadium,45000,Fort Worth,TX
Temple Owls,Lincoln Financial Field,68532,Philadelphia,PA
Tennessee Volunteers,Neyland Stadium,101915,Knoxville,TN
Texas A&M Aggies,Kyle Field,102733,College Station,TX
Texas Longhorns,Darrell K Royal–Texas Memorial Stadium,100119,Austin,TX
Texas State Bobcats,Jim Wacker Field at UFCU Stadium,30000,San Marcos,TX
Texas Tech Red Raiders,Jones AT&T Stadium,60229,Lubbock,TX
Toledo Rockets,Glass Bowl,26038,Toledo,OH
Troy Trojans,Veterans Memorial Stadium at Larry Blakeney Field,30470,Troy,AL
Tulane Green Wave,Benson Field at Yulman Stadium,30000,New Orleans,LA
Tulsa Golden Hurricane,Skelly Field at H. A. Chapman Stadium,30000,Tulsa,OK
UAB Blazers,Protective Stadium,47100,Birmingham,AL
UCF Knights,Acrisure Bounce House,44206,Orlando[c],FL
UCLA Bruins,Rose Bowl Stadium,89702,Pasadena,CA
UConn Huskies,Pratt & Whitney Stadium at Rentschler Field,40000,East Hartford,CT
UMass,Warren McGuirk Alumni Stadium,17000,Hadley[o],MA
UNLV,Allegiant Stadium,65000,Paradise[d],NV
USC Trojans,Los Angeles Memorial Coliseum,77500,Los Angeles,CA
UTEP,Sun Bowl Stadium,46670,El Paso,TX
UTSA Roadrunners,Alamodome,65000,San Antonio,TX
Utah State (Pac-12 in 2026),Merlin Olsen Field at Maverik Stadium,25513,Logan,UT
Utah Utes,Rice–Eccles Stadium,51444,Salt Lake City,UT
Vanderbilt Commodores,FirstBank Stadium,28500,Nashville,TN
Virginia Cavaliers,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",61500,Charlottesville[g],VA
Virginia Tech Hokies,Lane Stadium/Worsham Field,66233,Blacksburg,VA
Wake Forest Demon Deacons,Allegacy Federal Credit Union Stadium,31500,Winston-Salem,NC
Washington Huskies,Alaska Airlines Field at Husky Stadium,70083,Seattle,WA
Washington State Cougars,Martin Stadium,32248,Pullman,WA
West Virginia Mountaineers,Mountaineer Field at Milan Puskar Stadium,60000,Morgantown,WV
Western Kentucky Hilltoppers,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,22113,Bowling Green,KY
Western Michigan Broncos,Waldo Stadium,30200,Kalamazoo,MI
Wisconsin Badgers,Camp Randall Stadium,76057,Madison,WI
Wyoming Cowboys,Jonah Field at War Memorial Stadium,29181,Laramie,WY
