team,rival
Jackson State,Southern Jaguars
Jacksonsville State,Troy Trojans
James Madison Dukes,Liberty Flames
James Madison Dukes,Old Dominion Monarchs
Johns Hopkins,McDaniel
Juniata,Susquehanna
Kansas Jayhawks,Kansas State Wildcats
Kansas Jayhawks,Missouri Tigers
Kansas Jayhawks,Nebraska Cornhuskers
Kansas State Wildcats,Nebraska Cornhuskers
Kentucky Wildcats,Louisville Cardinals
Kentucky Wildcats,Tennessee Volunteers
Kentucky Wildcats,Vanderbilt Commodores
King's,Wilkes
Knox,Monmouth Hawks
LSU Tigers,Mississippi Rebels
LSU Tigers,Mississippi State Bulldogs
LSU Tigers,Texas A&M Aggies
LSU Tigers,Tulane Green Wave
Lafayette Leopards,Lehigh
Lamar,Louisiana Lafayette Ragin Cajuns
Lamar,McNeese State Cowboys
Lawrence,Ripon
Lewis & Clark,Willamette
Louisiana Lafayette Ragin Cajuns,Louisiana Tech Bulldogs
Louisiana Lafayette Ragin Cajuns,Louisiana–Monroe
Louisiana Lafayette Ragin Cajuns,McNeese State Cowboys
Louisiana Lafayette Ragin Cajuns,Southeastern Louisiana
Louisiana Tech Bulldogs,Louisiana–Monroe
Louisiana Tech Bulldogs,Northwestern State Demons
Louisiana Tech Bulldogs,Southern Miss Golden Eagles
Louisville Cardinals,Memphis Tigers
Louisville Cardinals,Miami Hurricanes
Lycoming,Susquehanna
Maine Black Bears,New Hampshire Wildcats
Maine Maritime,Mass Maritime
Marshall Thundering Herd,Ohio Bobcats
Marshall Thundering Herd,West Virginia Mountaineers
Maryland Terrapins,Navy Midshipmen
Maryland Terrapins,Penn State Nittany Lions
Maryland Terrapins,Rutgers Scarlet Knights
Maryland Terrapins,Virginia Cavaliers
Maryland Terrapins,West Virginia Mountaineers
Mass Maritime,SUNY Maritime
McNeese State Cowboys,Northwestern State Demons
Memphis Tigers,Mississippi Rebels
Memphis Tigers,Southern Miss Golden Eagles
Memphis Tigers,UAB Blazers
Merchant Marine,SUNY Maritime
Miami Hurricanes,Nebraska Cornhuskers
Miami Hurricanes,Ohio Bobcats
Miami Hurricanes,Virginia Tech Hokies
Michigan State Spartans,Michigan Wolverines
Michigan State Spartans,Notre Dame Fighting Irish
Michigan State Spartans,Penn State Nittany Lions
Michigan Tech,Northern Michigan
Michigan Wolverines,Minnesota Golden Gophers
Michigan Wolverines,Northwestern Wildcats
Michigan Wolverines,Notre Dame Fighting Irish
Michigan Wolverines,Ohio State Buckeyes
Michigan Wolverines,Penn State Nittany Lions
Middle Tennessee Blue Raiders,Troy Trojans
Middle Tennessee Blue Raiders,Western Kentucky Hilltoppers
Millsaps,Mississippi College
Minnesota Golden Gophers,Nebraska Cornhuskers
Minnesota Golden Gophers,Penn State Nittany Lions
Minnesota Golden Gophers,Wisconsin Badgers
Minnesota–Duluth,St. Cloud State
Mississippi Rebels,Mississippi State Bulldogs
Mississippi Rebels,Tulane Green Wave
Mississippi Rebels,Vanderbilt Commodores
Missouri Southern,Pittsburg State
Missouri Tigers,Nebraska Cornhuskers
Missouri Tigers,Oklahoma Sooners
Missouri Tigers,South Carolina Gamecocks
Missouri Western,Northwest Missouri State
Montana,Montana State Bobcats
Morgan State,Towson Tigers
Mount St. Joseph,Thomas More NAIA
Murray State Racers,Western Kentucky Hilltoppers
Navy Midshipmen,Notre Dame Fighting Irish
Navy Midshipmen,Southern Methodist (SMU) Mustangs
Nebraska Cornhuskers,Oklahoma Sooners
Nebraska Cornhuskers,Wisconsin Badgers
Nevada Wolf Pack,UNLV Rebels
New Haven,Southern Connecticut
New Mexico Lobos,New Mexico State Aggies
New Mexico State Aggies,UTEP Miners
Newberry,PresbyterianFCS
Nicholls State Colonels,Northwestern State Demons
Nicholls State Colonels,Southeastern Louisiana
Nicholls State Colonels,Texas State Bobcats
Norfolk State Spartans,Old Dominion Monarchs
North AlabamaFCS,West Alabama
North Carolina A&T Aggies,North Carolina Central
North Carolina A&T Aggies,South Carolina State Bulldogs
North Carolina State Wolfpack,North Carolina Tar Heels
North Carolina State Wolfpack,Wake Forest Demon Deacons
North Carolina Tar Heels,South Carolina Gamecocks
North Carolina Tar Heels,Virginia Cavaliers
North Carolina Tar Heels,Wake Forest Demon Deacons
North Central,Wheaton
North Dakota,North Dakota State
North Dakota,South Dakota Coyotes
North Dakota State,South Dakota State
North Texas Mean Green,Southern Methodist (SMU) Mustangs
Northern Arizona Lumberjacks,Southern Utah
Northwest Missouri State,Pittsburg State
Northwest Missouri State,Truman State
Northwestern State Demons,Southeastern Louisiana
Northwestern State Demons,Stephen F. Austin Lumberjacks
Northwestern Wildcats,Notre Dame Fighting Irish
Norwich,Vermont State University – Castleton
Notre Dame Fighting Irish,Pittsburgh Panthers
Notre Dame Fighting Irish,Purdue Boilermakers
Notre Dame Fighting Irish,Stanford Cardinals
Notre Dame Fighting Irish,USC Trojans
Occidental,Pomona–Pitzer
Occidental,Whittier
Ohio State Buckeyes,Penn State Nittany Lions
Oklahoma Sooners,Oklahoma State Cowboys
Oklahoma Sooners,Texas Longhorns
Oklahoma State Cowboys,Tulsa Golden Hurricane
Oregon Ducks,Oregon State Beavers
Oregon Ducks,Saint Mary's
Oregon Ducks,Stanford Cardinals
Oregon Ducks,USC Trojans
Oregon Ducks,Washington Huskies
Pacific,San Jose State Spartans
Pacific Lutheran,Puget Sound
Penn,Princeton
Penn State Nittany Lions,Pittsburgh Panthers
Penn State Nittany Lions,Syracuse Orange
Penn State Nittany Lions,West Virginia Mountaineers
Pittsburgh Panthers,Syracuse Orange
Pittsburgh Panthers,West Virginia Mountaineers
Prairie View A&M,Texas Southern Tigers
Princeton,Yale
RPI,Union
RPI,WPI
Rhode Island Rams,UConn Huskies
Rhodes,Sewanee
Rice Owls,Southern Methodist (SMU) Mustangs
Rice Owls,Texas Longhorns
Richmond Spiders,VMI Keydets
Richmond Spiders,William & Mary Tribe
Sacramento State Hornets,UC Davis Aggies
Saint John's,St. Thomas FCS
San Jose State Spartans,Stanford Cardinals
Sewanee,Vanderbilt Commodores
South Alabama Jaguars,Troy Trojans
South Dakota Coyotes,South Dakota State
South Florida Bulls,UCF Knights
Southern Methodist (SMU) Mustangs,TCU Horned Frogs
Southern Miss Golden Eagles,Tulane Green Wave
Southern Utah,Weber State Wildcats
Southwest Minnesota State,Winona State
Springfield College,Western New England University
Stanford Cardinals,USC Trojans
Syracuse Orange,UConn Huskies
Syracuse Orange,West Virginia Mountaineers
TCU Horned Frogs,Texas A&M Aggies
TCU Horned Frogs,Texas Longhorns
TCU Horned Frogs,Texas Tech Red Raiders
Temple Owls,Villanova Wildcats
Tennessee Volunteers,Vanderbilt Commodores
Texas A&M Aggies,Texas Longhorns
Texas A&M Aggies,Texas Tech Red Raiders
Texas Longhorns,Texas Tech Red Raiders
Texas State Bobcats,UTSA Roadrunners
The Citadel Bulldogs,VMI Keydets
The Citadel Bulldogs,Wofford Terriers
Trinity,Wesleyan
UCLA Bruins,USC Trojans
UConn Huskies,UMass Minutemen
Utah State Aggies,Utah Utes
Utah State Aggies,Wyoming Cowboys
VMI Keydets,Virginia Tech Hokies
VMI Keydets,William & Mary Tribe
Valdosta State,West GeorgiaFCS
Virginia Cavaliers,Virginia Tech Hokies
Virginia Tech Hokies,West Virginia Mountaineers
Washington Huskies,Washington State Cougars
Wisconsin–Eau Claire,Wisconsin–Stout
