team,rival
Georgia Bulldogs,Vanderbilt Commodores
Georgia Southern Eagles,Georgia State Panthers
Georgia Tech Yellow Jackets,Tennessee Volunteers
Georgia Tech Yellow Jackets,Vanderbilt Commodores
Georgia Tech Yellow Jackets,Virginia Tech Hokies
Gettysburg,McDaniel
Grambling State,Prairie View A&M
Grambling State,Southern
Grand Valley State,Saginaw Valley State
Grand Valley State,Wayne State
Greensboro,Guilford
Grove City,Thiel
Hamilton,Middlebury
Hamline,Macalester
Hampden–Sydney,Randolph–Macon
Hampton,Howard
Hampton,Norfolk State Spartans
Harvard,Penn
Harvard,Princeton
Harvard,Yale
Hawaii,San Jose State Spartans
Hawaii,Wyoming Cowboys
Henderson State,Ouachita Baptist
Hobart,Rochester
Hope College,Kalamazoo College
Houston Cougars,Rice Owls
Houston Cougars,Southern Methodist (SMU) Mustangs
Houston Cougars,Texas Tech Red Raiders
Howard,Morgan State
Idaho State Bengals,Idaho Vandals
Idaho Vandals,Montana
Idaho Vandals,Washington State Cougars
Illinois Fighting Illini,Indiana Hoosiers
Illinois Fighting Illini,Michigan Wolverines
Illinois Fighting Illini,Missouri Tigers
Illinois Fighting Illini,Northwestern Wildcats
Illinois Fighting Illini,Ohio State Buckeyes
Illinois Fighting Illini,Purdue Boilermakers
Indiana Hoosiers,Kentucky State
Indiana Hoosiers,Michigan State Spartans
Indiana Hoosiers,Purdue Boilermakers
Iowa Hawkeyes,Iowa State Cyclones
Iowa Hawkeyes,Minnesota Golden Gophers
Iowa Hawkeyes,Nebraska Cornhuskers
Iowa Hawkeyes,Wisconsin Badgers
Iowa State Cyclones,Kansas State Wildcats
Iowa State Cyclones,Missouri Tigers
Iowa State Cyclones,Nebraska Cornhuskers
Ithaca,SUNY Cortland
Jackson State,Southern
James Madison Dukes,Old Dominion Monarchs
Johns Hopkins,McDaniel
Juniata,Susquehanna
Kansas Jayhawks,Kansas State Wildcats
Kansas Jayhawks,Missouri Tigers
Kansas Jayhawks,Nebraska Cornhuskers
Kansas State Wildcats,Nebraska Cornhuskers
Kentucky State,Louisville Cardinals
Kentucky State,Tennessee Volunteers
Kentucky State,Vanderbilt Commodores
King's,Wilkes
Knox,Monmouth Hawks
LSU Tigers,Mississippi State Bulldogs
LSU Tigers,Ole Miss Rebels
LSU Tigers,Texas A&M Aggies
LSU Tigers,Tulane Green Wave
Lafayette Leopards,Lehigh
Lamar,Louisville Cardinals
Lamar,McNeese State Cowboys
Lawrence,Ripon
Lewis & Clark,Willamette
Louisiana Tech Bulldogs,Louisiana–Monroe
Louisiana Tech Bulldogs,Louisville Cardinals
Louisiana Tech Bulldogs,Northwestern State Demons
Louisiana Tech Bulldogs,Southern Miss Golden Eagles
Louisiana–Monroe,Louisville Cardinals
Louisiana–Monroe,Northwestern State Demons
Louisville Cardinals,McNeese State Cowboys
Louisville Cardinals,Memphis Tigers
Louisville Cardinals,Miami Hurricanes
Louisville Cardinals,Southeastern Louisiana
Lycoming,Susquehanna
Maine Black Bears,New Hampshire Wildcats
Maine Maritime,Mass Maritime
Marshall Thundering Herd,Ohio Bobcats
Marshall Thundering Herd,West Virginia Mountaineers
Maryland Terrapins,Navy Midshipmen
Maryland Terrapins,Virginia Cavaliers
Maryland Terrapins,West Virginia Mountaineers
Mass Maritime,SUNY Maritime
McNeese State Cowboys,Northwestern State Demons
Memphis Tigers,Ole Miss Rebels
Memphis Tigers,Southern Miss Golden Eagles
Memphis Tigers,UAB Blazers
Merchant Marine,SUNY Maritime
Miami Hurricanes,Nebraska Cornhuskers
Miami Hurricanes,Ohio Bobcats
Miami Hurricanes,Virginia Tech Hokies
Michigan State Spartans,Michigan Wolverines
Michigan State Spartans,Notre Dame Fighting Irish
Michigan Tech,Northern Michigan
Michigan Wolverines,Minnesota Golden Gophers
Michigan Wolverines,Northwestern Wildcats
Michigan Wolverines,Notre Dame Fighting Irish
Michigan Wolverines,Ohio State Buckeyes
Middle Tennessee Blue Raiders,Troy Trojans
Middle Tennessee Blue Raiders,Western Kentucky Hilltoppers
Millsaps,Mississippi College
Minnesota Golden Gophers,Nebraska Cornhuskers
Minnesota Golden Gophers,Wisconsin Badgers
Minnesota–Duluth,St. Cloud State
Mississippi State Bulldogs,Ole Miss Rebels
Missouri Southern,Pittsburg State
Missouri Tigers,Nebraska Cornhuskers
Missouri Tigers,Oklahoma
Missouri Tigers,South Carolina Gamecocks
Missouri Western,Northwest Missouri State
Montana,Morgan State
Morgan State,Towson Tigers
Mount St. Joseph,Thomas More NAIA
Murray State Racers,Western Kentucky Hilltoppers
NC State Wolfpack,North Carolina Tar Heels
NC State Wolfpack,Wake Forest Demon Deacons
Navy Midshipmen,Notre Dame Fighting Irish
Navy Midshipmen,Southern Methodist (SMU) Mustangs
Nebraska Cornhuskers,Oklahoma
Nebraska Cornhuskers,Wisconsin Badgers
Nevada Wolf Pack,UNLV
New Haven,Southern Connecticut
New Mexico Lobos,New Mexico State Aggies
New Mexico State Aggies,UTEP
Newberry,PresbyterianFCS
Nicholls State Colonels,Northwestern State Demons
Nicholls State Colonels,Southeastern Louisiana
Nicholls State Colonels,Texas State Bobcats
Norfolk State Spartans,Old Dominion Monarchs
North AlabamaFCS,West Alabama
North Carolina A&T Aggies,North Carolina Central
North Carolina A&T Aggies,South Carolina State Bulldogs
North Carolina Tar Heels,South Carolina Gamecocks
North Carolina Tar Heels,Virginia Cavaliers
North Carolina Tar Heels,Wake Forest Demon Deacons
North Central,Wheaton
North Dakota State,North Dakota State Bison
North Dakota State,South Dakota State
North Dakota State Bison,South Dakota Coyotes
North Texas Mean Green,Southern Methodist (SMU) Mustangs
Northern Arizona Lumberjacks,Southern Utah
Northwest Missouri State,Pittsburg State
Northwest Missouri State,Truman State
Northwestern State Demons,Southeastern Louisiana
Northwestern State Demons,Stephen F. Austin Lumberjacks
Northwestern Wildcats,Notre Dame Fighting Irish
Norwich,Vermont State University – Castleton
Notre Dame Fighting Irish,Pittsburgh Panthers
Notre Dame Fighting Irish,Purdue Boilermakers
Notre Dame Fighting Irish,Stanford Cardinal
Notre Dame Fighting Irish,USC Trojans
Occidental,Pomona–Pitzer
Occidental,Whittier
Oklahoma,Oklahoma State Cowboys
Oklahoma,Texas Longhorns
Oklahoma State Cowboys,Tulsa Golden Hurricane
Ole Miss Rebels,Tulane Green Wave
Ole Miss Rebels,Vanderbilt Commodores
Oregon Ducks,Oregon State Beavers
Oregon Ducks,Saint Mary's
Oregon Ducks,Stanford Cardinal
Oregon Ducks,Washington Huskies
Pacific,San Jose State Spartans
Pacific Lutheran,Puget Sound
Penn,Princeton
Pittsburgh Panthers,Syracuse Orange
Pittsburgh Panthers,West Virginia Mountaineers
Prairie View A&M,Texas Southern Tigers
Princeton,Yale
RPI,Union
RPI,WPI
Rhode Island Rams,UConn Huskies
Rhodes,Sewanee
Rice Owls,Southern Methodist (SMU) Mustangs
Rice Owls,Texas Longhorns
Richmond Spiders,VMI Keydets
Richmond Spiders,William & Mary Tribe
Sacramento State Hornets,UC Davis Aggies
Saint John's,St. Thomas FCS
San Jose State Spartans,Stanford Cardinal
Sewanee,Vanderbilt Commodores
South Alabama Jaguars,Troy Trojans
South Carolina Gamecocks,Tennessee Volunteers
South Dakota Coyotes,South Dakota State
South Florida Bulls,UCF Knights
Southern Methodist (SMU) Mustangs,TCU Horned Frogs
Southern Miss Golden Eagles,Tulane Green Wave
Southern Utah,Weber State Wildcats
Southwest Minnesota State,Winona State
Springfield College,Western New England University
Stanford Cardinal,USC Trojans
Syracuse Orange,UConn Huskies
Syracuse Orange,West Virginia Mountaineers
TCU Horned Frogs,Texas A&M Aggies
TCU Horned Frogs,Texas Longhorns
TCU Horned Frogs,Texas Tech Red Raiders
Temple Owls,Villanova Wildcats
Tennessee Volunteers,Vanderbilt Commodores
Texas A&M Aggies,Texas Longhorns
Texas A&M Aggies,Texas Tech Red Raiders
Texas Longhorns,Texas Tech Red Raiders
Texas State Bobcats,UTSA Roadrunners
