feature,mean_abs_shap
awayTeamRank,121.38919040962625
homeTeamRank,24.10101274827253
week,18.35253372772129
conferenceGame,16.60304723757285
awayConference,9.9723477559635
capacity,9.659063575366217
days_until,6.413139440701141
isRankedMatchup,6.3658943098257765
homeConference,2.877173511983856
collectionSlot,1.9027808670520177
isRivalry,1.7845970078281082
neutralSite,0.08890580167178679
