feature,mean_importance,std_importance
awayConference,0.016886166344652054,0.018295365525894863
days_until_game,0.0,0.0
isRankedMatchup,0.0,0.0
awayTeamRank,0.0,0.0
collectionSlot,0.0,0.0
homeTeamRank,0.0,0.0
capacity,-2.842170943040401e-15,5.684341886080802e-15
neutralSite,-2.842170943040401e-15,5.6843418860808026e-15
conferenceGame,-2.842170943040401e-15,5.684341886080802e-15
isRivalry,-2.842170943040401e-15,5.6843418860808026e-15
week,-2.842170943040401e-15,5.6843418860808026e-15
homeConference,-0.016351938448405434,0.0076522940977353845
