feature,mean_abs_shap
awayTeamRank,122.00984066282201
homeTeamRank,43.663438288253985
awayConference,10.196266462675615
week,8.708070165050502
isRankedMatchup,7.177298430739802
capacity,6.226491828751775
conferenceGame,5.18574728265016
days_until,2.878025334483085
homeConference,2.7636780334651903
isRivalry,1.6325279781682782
collectionSlot,1.3124504816867186
neutralSite,0.08521423724600055
