rank,school
1,Oregon
2,Georgia
3,Texas
4,Penn State
5,Notre Dame
6,Ohio State
7,Tennessee
8,Indiana
9,Boise State
10,SMU
11,Alabama
12,Arizona State
13,Miami
14,Ole Miss
15,South Carolina
16,Clemson
17,BYU
18,Iowa State
19,Missouri
20,Illinois
21,Syracuse
22,Army
23,Colorado
24,UNLV
25,Memphis
