rank,school
1,Texas
2,Penn State
3,Ohio State
4,Clemson
5,Georgia
6,Notre Dame
7,Oregon
8,Alabama
9,LSU
10,Miami
11,Arizona State
12,Illinois
13,South Carolina
14,Michigan
15,Florida
16,SMU
17,Kansas State
18,Oklahoma
19,Texas A&M
20,Indiana
21,Ole Miss
22,Iowa State
23,Texas Tech
24,Tennessee
25,Boise State
