id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff,game_date,homeTeamRank,awayTeamRank,isRankedMatchup,capacity
401757306,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,,4899.0,Fifth Third Stadium,338,Kennesaw State Owls,fbs,Conference USA,,,,1375.0,,2623,Missouri State Bears,fbs,Conference USA,,,,1376.0,,,,,2025-11-22,Saturday,2025-11-22 14:00:00-05:00,-47.0,-18.0,2025-11-22,,,False,10200
401760419,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,,3984.0,War Memorial Stadium,2751,Wyoming Cowboys,fbs,Mountain West,,,,1348.0,,2440,Nevada Wolf Pack,fbs,Mountain West,,,,1288.0,,,,,2025-11-22,Saturday,2025-11-22 14:00:00-05:00,-3.0,-1.0,2025-11-22,,,False,29181.0
401761656,2025,13,regular,2025-11-22 19:30:00+00:00,False,False,False,True,,3792.0,Kidd Brewer Stadium,2026,Appalachian State Mountaineers,fbs,Sun Belt,,,,1248.0,,276,Marshall Thundering Herd,fbs,Sun Belt,,,,1499.0,,,,,2025-11-22,Saturday,2025-11-22 14:30:00-05:00,-16.0,-1.0,2025-11-22,,,False,30000
401757308,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,,3725.0,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee Blue Raiders,fbs,Conference USA,,,,1122.0,,2534,Sam Houston State Bearkats,fbs,Conference USA,,,,1094.0,,,,,2025-11-22,Saturday,2025-11-22 15:00:00-05:00,1.0,-17.0,2025-11-22,,,False,31000
401757307,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,,3776.0,Joe Aillet Stadium,2348,Louisiana Tech Bulldogs,fbs,Conference USA,,,,1396.0,,2335,Liberty Flames,fbs,Conference USA,,,,1468.0,,,,,2025-11-22,Saturday,2025-11-22 15:00:00-05:00,35.0,-10.0,2025-11-22,,,False,28109
401757175,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,False,,3715.0,FAU Stadium,2226,Florida Atlantic Owls,fbs,American Athletic,,,,1249.0,,41,UConn Huskies,fbs,FBS Independents,,,,1568.0,,,,,2025-11-22,Saturday,2025-11-22 15:00:00-05:00,-10.0,-3.0,2025-11-22,,,False,30000.0
401757309,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,,3946.0,Sun Bowl,2638,UTEP Miners,fbs,Conference USA,,,,1215.0,,166,New Mexico State Aggies,fbs,Conference USA,,,,1181.0,,,,,2025-11-22,Saturday,2025-11-22 15:00:00-05:00,-17.0,-35.0,2025-11-22,,,False,46670.0
401762511,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,,7221.0,Protective Stadium,5,UAB Blazers,fbs,American Athletic,,,,1197.0,,58,South Florida Bulls,fbs,American Athletic,,,,1729.0,,,,,2025-11-22,Saturday,2025-11-22 15:00:00-05:00,3.0,-37.0,2025-11-22,,,False,47100
401761658,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,6526.0,Hancock Whitney Stadium,6,South Alabama Jaguars,fbs,Sun Belt,,,,1369.0,,2572,Southern Miss Golden Eagles,fbs,Sun Belt,,,,1303.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,-16.0,16.0,2025-11-22,,,False,25450
401752911,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3626.0,Autzen Stadium,2483,Oregon Ducks,fbs,Big Ten,,,,2068.0,,30,USC Trojans,fbs,Big Ten,,,,1916.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,20.0,16.0,2025-11-22,9.0,19.0,True,54000
401757305,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,2031.0,Pitbull Stadium,2229,Florida International Panthers,fbs,Conference USA,,,,1326.0,,55,Jacksonville State Gamecocks,fbs,Conference USA,,,,1518.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,10.0,-7.0,2025-11-22,,,False,23500
401752782,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3973.0,FirstBank Stadium,238,Vanderbilt Commodores,fbs,SEC,,,,1770.0,,96,Kentucky Wildcats,fbs,SEC,,,,1635.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,24.0,25.0,2025-11-22,16.0,,False,28500
401762513,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3604.0,Alamodome,2636,UTSA Roadrunners,fbs,American Athletic,,,,1472.0,,151,East Carolina Pirates,fbs,American Athletic,,,,1604.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,-7.0,38.0,2025-11-22,,,False,65000
401752913,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3793.0,Kinnick Stadium,2294,Iowa Hawkeyes,fbs,Big Ten,,,,1907.0,,127,Michigan State Spartans,fbs,Big Ten,,,,1377.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,40.0,2.0,2025-11-22,20.0,,False,69250
401752780,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3910.0,DKR-Texas Memorial Stadium,251,Texas Longhorns,fbs,SEC,,,,1872.0,,8,Arkansas Razorbacks,fbs,SEC,,,,1596.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,17.0,-6.0,2025-11-22,11.0,,False,100119.0
401754600,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,True,,3787.0,Kenan Stadium,153,North Carolina Tar Heels,fbs,ACC,,,,1361.0,,150,Duke Blue Devils,fbs,ACC,,,,1576.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,17.0,-7.0,2025-11-22,,,False,50500
401754604,2025,13,regular,2025-11-22 20:30:00+00:00,False,False,False,False,,3855.0,Notre Dame Stadium,87,Notre Dame Fighting Irish,fbs,FBS Independents,,,,2189.0,,183,Syracuse Orange,fbs,ACC,,,,1304.0,,,,,2025-11-22,Saturday,2025-11-22 15:30:00-05:00,-1.0,7.0,2025-11-22,10.0,,False,77622
401762515,2025,13,regular,2025-11-22 20:45:00+00:00,False,False,False,True,,3806.0,Lincoln Financial Field,218,Temple Owls,fbs,American Athletic,,,,1266.0,,2655,Tulane Green Wave,fbs,American Athletic,,,,1543.0,,,,,2025-11-22,Saturday,2025-11-22 15:45:00-05:00,-39.0,7.0,2025-11-22,,,False,68532
401752914,2025,13,regular,2025-11-22 21:00:00+00:00,False,False,False,True,,3665.0,SECU Stadium,120,Maryland Terrapins,fbs,Big Ten,,,,1440.0,,130,Michigan Wolverines,fbs,Big Ten,,,,1799.0,,,,,2025-11-22,Saturday,2025-11-22 16:00:00-05:00,11.0,60.0,2025-11-22,,21.0,False,51802
401756959,2025,13,regular,2025-11-22 21:00:00+00:00,False,False,False,True,,3652.0,FBC Mortgage Stadium,2116,UCF Knights,fbs,Big 12,,,,1468.0,,197,Oklahoma State Cowboys,fbs,Big 12,,,,1080.0,,,,,2025-11-22,Saturday,2025-11-22 16:00:00-05:00,7.0,-66.0,2025-11-22,,,False,44206.0
401761660,2025,13,regular,2025-11-22 21:00:00+00:00,False,False,False,True,,3975.0,Veterans Memorial Stadium (AL),2653,Troy Trojans,fbs,Sun Belt,,,,1359.0,,2247,Georgia State Panthers,fbs,Sun Belt,,,,1107.0,,,,,2025-11-22,Saturday,2025-11-22 16:00:00-05:00,-21.0,-22.0,2025-11-22,,,False,30470.0
401756960,2025,13,regular,2025-11-22 21:00:00+00:00,False,False,False,True,,587.0,Rice-Eccles Stadium,254,Utah Utes,fbs,Big 12,,,,1977.0,,2306,Kansas State Wildcats,fbs,Big 12,,,,1674.0,,,,,2025-11-22,Saturday,2025-11-22 16:00:00-05:00,3.0,-6.0,2025-11-22,13.0,,False,51444.0
