id,season,seasonType,week,startDate,homeTeam,awayTeam,homePoints,awayPoints,homePointDiff,awayPointDiff,homeClassification,awayClassification,neutralSite,venue,homeConference,awayConference,startTimeTBD,completed,conferenceGame,attendance,venueId,homeId,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401752667,2025,regular,1,2025-08-30 00:00:00+00:00,Baylor,Auburn,24.0,38.0,-14.0,14.0,fbs,fbs,False,McLane Stadium,Big 12,SEC,False,True,False,,4727.0,239,"[3, 7, 7, 7]",0.3652919828891754,1604.0,1569.0,2,"[7, 10, 14, 7]",0.6347080171108246,1574.0,1609.0,5.207606567811596,,
401757224,2025,regular,1,2025-08-30 01:30:00+00:00,Sam Houston,UNLV,21.0,38.0,-17.0,17.0,fbs,fbs,True,BBVA Compass Stadium,Conference USA,Mountain West,False,True,False,,3631.0,2534,"[7, 0, 0, 14]",0.03245411068201065,1411.0,1397.0,2439,"[14, 10, 7, 7]",0.9675458893179893,1619.0,1633.0,3.6618211785683403,,
401760358,2025,regular,1,2025-08-30 02:30:00+00:00,San José State,Central Michigan,14.0,16.0,-2.0,2.0,fbs,fbs,False,CEFCU Stadium,Mountain West,Mid-American,False,True,False,,3935.0,23,"[0, 7, 7, 0]",0.12722167372703552,1484.0,1467.0,2117,"[10, 3, 0, 3]",0.8727783262729645,1235.0,1252.0,6.0997865114863705,,
401752676,2025,regular,1,2025-08-30 16:00:00+00:00,Tennessee,Syracuse,45.0,26.0,19.0,-19.0,fbs,fbs,True,Mercedes-Benz Stadium,SEC,ACC,False,True,False,,5348.0,2633,"[17, 14, 7, 7]",0.9442566633224487,1776.0,1799.0,183,"[0, 14, 6, 6]",0.05574333667755127,1499.0,1476.0,4.3399094147520065,,Aflac Kickoff
401752797,2025,regular,1,2025-08-30 16:00:00+00:00,Maryland,Florida Atlantic,39.0,7.0,32.0,-32.0,fbs,fbs,False,SECU Stadium,Big Ten,American Athletic,False,True,False,,3665.0,120,"[7, 26, 6, 0]",0.9894888997077942,1438.0,1509.0,2226,"[7, 0, 0, 0]",0.01051110029220581,1311.0,1240.0,4.6495327038332155,,
401752803,2025,regular,1,2025-08-30 16:00:00+00:00,Tulane,Northwestern,23.0,3.0,20.0,-20.0,fbs,fbs,False,Yulman Stadium,American Athletic,Big Ten,False,True,False,,4729.0,2655,"[7, 13, 3, 0]",0.9883838891983032,1616.0,1644.0,77,"[3, 0, 0, 0]",0.011616110801696777,1431.0,1403.0,3.4735579019831504,,
401752677,2025,regular,1,2025-08-30 16:00:00+00:00,Ohio State,Texas,14.0,7.0,7.0,-7.0,fbs,fbs,False,Ohio Stadium,Big Ten,SEC,False,True,False,,3861.0,194,"[0, 7, 0, 7]",0.750937283039093,1974.0,1977.0,251,"[0, 0, 0, 7]",0.24906271696090698,1861.0,1858.0,3.8398377534422923,,
401752673,2025,regular,1,2025-08-30 16:00:00+00:00,Southern Miss,Mississippi State,17.0,34.0,-17.0,17.0,fbs,fbs,False,M. M. Roberts Stadium,Sun Belt,SEC,False,True,False,,3815.0,2572,"[3, 7, 0, 7]",0.0314677357673645,1119.0,1107.0,344,"[10, 3, 21, 0]",0.9685322642326355,1412.0,1424.0,4.441994027739813,,
401752801,2025,regular,1,2025-08-30 16:00:00+00:00,Purdue,Ball State,31.0,0.0,31.0,-31.0,fbs,fbs,False,Ross-Ade Stadium,Big Ten,Mid-American,False,True,False,,3907.0,2509,"[14, 7, 7, 3]",0.988307774066925,1207.0,1293.0,2050,"[0, 0, 0, 0]",0.011692225933074951,1224.0,1138.0,2.588454535328131,,
401752670,2025,regular,1,2025-08-30 16:45:00+00:00,Kentucky,Toledo,24.0,16.0,8.0,-8.0,fbs,fbs,False,Kroger Field,SEC,Mid-American,False,True,False,,3683.0,96,"[7, 3, 0, 14]",1.0,1498.0,1507.0,2649,"[0, 2, 0, 14]",0.0,1454.0,1445.0,4.645077771761659,,
401752806,2025,regular,1,2025-08-30 18:30:00+00:00,Indiana,Old Dominion,27.0,14.0,13.0,-13.0,fbs,fbs,False,"Memorial Stadium (Bloomington, IN)",Big Ten,Sun Belt,False,True,False,,3830.0,84,"[7, 10, 10, 0]",0.5844941139221191,1800.0,1800.0,295,"[7, 0, 0, 7]",0.41550588607788086,1480.0,1480.0,3.9242669449124707,,
401752807,2025,regular,1,2025-08-30 19:30:00+00:00,Penn State,Nevada,46.0,11.0,35.0,-35.0,fbs,fbs,False,Beaver Stadium,Big Ten,Mountain West,False,True,False,,3632.0,213,"[10, 17, 12, 7]",0.9887898564338684,2063.0,2073.0,2440,"[0, 3, 0, 8]",0.011210143566131592,1294.0,1284.0,3.706021586002457,,
401762456,2025,regular,1,2025-08-30 19:30:00+00:00,Massachusetts,Temple,10.0,42.0,-32.0,32.0,fbs,fbs,False,Warren McGuirk Alumni Stadium,Mid-American,American Athletic,False,True,False,,3985.0,113,"[10, 0, 0, 0]",0.015759259462356567,1193.0,1101.0,218,"[7, 21, 0, 14]",0.9842407405376434,1192.0,1284.0,3.8483313691960914,,
401752665,2025,regular,1,2025-08-30 19:30:00+00:00,Florida State,Alabama,31.0,17.0,14.0,-14.0,fbs,fbs,False,Doak Campbell Stadium,ACC,SEC,False,True,False,,3697.0,52,"[7, 10, 7, 7]",0.9667693972587585,1408.0,1477.0,333,"[7, 0, 3, 7]",0.033230602741241455,1824.0,1755.0,4.8906927608722865,,
401752669,2025,regular,1,2025-08-30 19:30:00+00:00,Georgia,Marshall,45.0,7.0,38.0,-38.0,fbs,fbs,False,Sanford Stadium,SEC,Sun Belt,False,True,False,,3917.0,61,"[14, 10, 14, 7]",0.9931291341781616,1998.0,2053.0,276,"[0, 0, 0, 7]",0.006870865821838379,1574.0,1519.0,2.831958872682932,,
401754616,2025,regular,1,2025-08-30 22:00:00+00:00,Virginia,Coastal Carolina,48.0,7.0,41.0,-41.0,fbs,fbs,False,Scott Stadium,ACC,Sun Belt,False,True,False,,3923.0,258,"[7, 21, 14, 6]",0.9922709465026855,1404.0,1521.0,324,"[0, 0, 7, 0]",0.007729053497314453,1379.0,1262.0,3.3129902798197115,,
401752678,2025,regular,1,2025-08-30 23:00:00+00:00,Texas A&M,UTSA,42.0,24.0,18.0,-18.0,fbs,fbs,False,Kyle Field,SEC,American Athletic,False,True,False,,3795.0,245,"[7, 14, 14, 7]",1.0,1674.0,1700.0,2636,"[3, 7, 7, 7]",0.0,1529.0,1503.0,5.030838796225625,,
401757225,2025,regular,1,2025-08-30 23:30:00+00:00,Utah State,UTEP,28.0,16.0,12.0,-12.0,fbs,fbs,False,Maverik Stadium,Mountain West,Conference USA,False,True,False,,3905.0,328,"[10, 10, 8, 0]",0.8222848773002625,1408.0,1418.0,2638,"[7, 3, 0, 6]",0.17771512269973755,1240.0,1230.0,4.996551118389414,,
401752808,2025,regular,1,2025-08-30 23:30:00+00:00,Michigan,New Mexico,34.0,17.0,17.0,-17.0,fbs,fbs,False,Michigan Stadium,Big Ten,Mountain West,False,True,False,,3558.0,130,"[14, 10, 3, 7]",0.9898145198822021,1772.0,1771.0,167,"[0, 10, 7, 0]",0.010185480117797852,1331.0,1332.0,3.6631597398085893,,
401752671,2025,regular,1,2025-08-30 23:30:00+00:00,Clemson,LSU,10.0,17.0,-7.0,7.0,fbs,fbs,False,"Memorial Stadium (Clemson, SC)",ACC,SEC,False,True,False,,3836.0,228,"[3, 7, 0, 0]",0.30021852254867554,1704.0,1692.0,99,"[0, 3, 7, 7]",0.6997814774513245,1718.0,1730.0,5.004065274365249,,
401752798,2025,regular,1,2025-08-30 23:30:00+00:00,USC,Missouri State,73.0,13.0,60.0,-60.0,fbs,fbs,False,Los Angeles Memorial Coliseum,Big Ten,Conference USA,False,True,False,,477.0,30,"[14, 28, 14, 17]",0.9899773597717285,1676.0,1841.0,2623,"[3, 7, 3, 0]",0.010022640228271484,1500.0,1335.0,3.0279735308189717,,
401752672,2025,regular,1,2025-08-30 23:45:00+00:00,Ole Miss,Georgia State,63.0,7.0,56.0,-56.0,fbs,fbs,False,Vaught-Hemingway Stadium,SEC,Sun Belt,False,True,False,,3974.0,145,"[7, 18, 17, 21]",0.9937152862548828,1838.0,1939.0,2247,"[0, 7, 0, 0]",0.0062847137451171875,1331.0,1230.0,3.4204603848447697,,
401761594,2025,regular,1,2025-08-31 00:00:00+00:00,Texas State,Eastern Michigan,52.0,27.0,25.0,-25.0,fbs,fbs,False,Bobcat Stadium (TX),Sun Belt,Mid-American,False,True,False,,3644.0,326,"[14, 10, 14, 14]",0.9995025992393494,1593.0,1623.0,2199,"[3, 14, 0, 10]",0.0004974007606506348,1283.0,1253.0,4.503330170819301,,
401761592,2025,regular,1,2025-08-31 00:00:00+00:00,Louisiana,Rice,12.0,14.0,-2.0,2.0,fbs,fbs,False,Cajun Field,Sun Belt,American Athletic,False,True,False,,3666.0,309,"[3, 3, 6, 0]",0.2572910189628601,1474.0,1463.0,242,"[0, 14, 0, 0]",0.7427089810371399,1326.0,1337.0,5.187988330546746,,
401760361,2025,regular,1,2025-08-31 01:30:00+00:00,Fresno State,Georgia Southern,42.0,14.0,28.0,-28.0,fbs,fbs,False,Valley Children's Stadium,Mountain West,Sun Belt,False,True,False,,3660.0,278,"[10, 3, 15, 14]",1.0,1441.0,1516.0,290,"[7, 7, 0, 0]",0.0,1457.0,1382.0,5.103442618284628,,
401752936,2025,regular,1,2025-08-31 02:30:00+00:00,Oregon State,California,15.0,34.0,-19.0,19.0,fbs,fbs,False,Reser Stadium,Pac-12,ACC,False,True,False,,3893.0,204,"[0, 3, 6, 6]",0.19505853950977325,1406.0,1371.0,25,"[14, 3, 7, 10]",0.8049414604902267,1519.0,1554.0,2.8187930693076786,,
401756849,2025,regular,1,2025-08-31 02:30:00+00:00,Arizona,Hawai'i,40.0,6.0,34.0,-34.0,fbs,fbs,False,Arizona Stadium,Big 12,Mountain West,False,True,False,,3619.0,12,"[7, 10, 14, 9]",0.9286626577377319,1371.0,1451.0,62,"[3, 3, 0, 0]",0.07133734226226807,1258.0,1178.0,3.562811782110526,,
401752805,2025,regular,1,2025-08-31 03:00:00+00:00,Washington,Colorado State,38.0,21.0,17.0,-17.0,fbs,fbs,False,Husky Stadium,Big Ten,Mountain West,False,True,False,,3765.0,264,"[7, 7, 14, 10]",0.9994847774505615,1585.0,1604.0,36,"[7, 7, 7, 0]",0.0005152225494384766,1382.0,1363.0,5.217607914774461,,
401752800,2025,regular,1,2025-08-31 03:00:00+00:00,UCLA,Utah,10.0,43.0,-33.0,33.0,fbs,fbs,False,Rose Bowl,Big Ten,Big 12,False,True,False,,1056.0,26,"[0, 7, 3, 0]",0.0,1492.0,1404.0,254,"[13, 10, 7, 13]",1.0,1542.0,1630.0,2.96631481543708,,
