season,poll,week,poll_date,rank,school,first_place_votes
2025,AP,16,2026-01-20,1,Indiana (16 0),66
2025,AP,16,2026-01-20,2,Miami (FL) (13 3),0
2025,AP,16,2026-01-20,3,Ole Miss (13 2),0
2025,AP,16,2026-01-20,4,Oregon (13 2),0
2025,AP,16,2026-01-20,5,Ohio State (12 2),0
2025,AP,16,2026-01-20,6,Georgia (12 2),0
2025,AP,16,2026-01-20,7,Texas Tech (12 2),0
2025,AP,16,2026-01-20,8,Texas A&M (11 2),0
2025,AP,16,2026-01-20,9,Alabama (11 4),0
2025,AP,16,2026-01-20,10,Notre Dame (10 2),0
2025,AP,16,2026-01-20,11,BYU (12 2),0
2025,AP,16,2026-01-20,12,Texas (10 3),0
2025,AP,16,2026-01-20,13,Oklahoma (10 3),0
2025,AP,16,2026-01-20,14,Utah (11 2),0
2025,AP,16,2026-01-20,15,Vanderbilt (10 3),0
2025,AP,16,2026-01-20,16,Virginia (11 3),0
2025,AP,16,2026-01-20,17,Iowa (9 4),0
2025,AP,16,2026-01-20,18,Tulane (11 3),0
2025,AP,16,2026-01-20,19,James Madison (12 2),0
2025,AP,16,2026-01-20,20,USC (9 4),0
2025,AP,16,2026-01-20,21,Michigan (9 4),0
2025,AP,16,2026-01-20,22,Houston (10 3),0
2025,AP,16,2026-01-20,23,Navy (11 2),0
2025,AP,16,2026-01-20,24,North Texas (12 2),0
2025,AP,16,2026-01-20,25,TCU (9 4),0
