feature,mean_importance,std_importance
awayConference,0.005072708082369104,0.008811428276587515
isRankedMatchup,2.842170943040401e-15,5.6843418860808026e-15
days_until_game,0.0,0.0
capacity,0.0,0.0
conferenceGame,0.0,0.0
neutralSite,0.0,0.0
homeTeamRank,0.0,0.0
isRivalry,0.0,0.0
awayTeamRank,0.0,0.0
week,0.0,0.0
collectionSlot,0.0,0.0
homeConference,-0.006644586992770485,0.0035363166834084725
