iter	MAE
0	0.1491344922
1	0.1424561498
2	0.1365604585
3	0.1311379616
4	0.1262619939
5	0.1220885766
6	0.1181413694
7	0.1144949165
8	0.1114610164
9	0.1088938844
10	0.1065393883
11	0.1043003756
12	0.1024995023
13	0.100789047
14	0.0995256926
15	0.09816047325
16	0.0972020538
17	0.09581261085
18	0.09470516402
19	0.09355142528
20	0.09236268935
21	0.09156162893
22	0.09063556739
23	0.089868107
24	0.08919506639
25	0.0884362866
26	0.08800579729
27	0.08730318236
28	0.08668119553
29	0.08619113145
30	0.08560829387
31	0.08513318745
32	0.08451705032
33	0.08411412029
34	0.08371267536
35	0.08303530226
36	0.0825884914
37	0.08209629553
38	0.08164940075
39	0.08129930036
40	0.08075741931
41	0.0803020401
42	0.07987550847
43	0.07942361597
44	0.07903499004
45	0.0787165927
46	0.07849686978
47	0.07800533155
48	0.07762348164
49	0.07743315894
50	0.07725071639
51	0.07691910057
52	0.07665520142
53	0.07644819849
54	0.07613235089
55	0.07593587748
56	0.07566750182
57	0.07530648438
58	0.07516367815
59	0.07495687292
60	0.07477435091
61	0.07467661909
62	0.07424083166
63	0.07401499816
64	0.0737648755
65	0.07366522096
66	0.07338511794
67	0.07316677125
68	0.07292441668
69	0.07276911986
70	0.07268686467
71	0.07246616291
72	0.07224804665
73	0.0721510579
74	0.07186219878
75	0.07177492834
76	0.07152517747
77	0.07139285471
78	0.07105627038
79	0.07096878268
80	0.07069420942
81	0.07058638334
82	0.07048444533
83	0.07031060151
84	0.07022694895
85	0.07000214979
86	0.06993335755
87	0.06981298851
88	0.06964014137
89	0.06953686295
90	0.06939425663
91	0.06926015348
92	0.06908857931
93	0.06892770284
94	0.06875356788
95	0.06846019333
96	0.06838143669
97	0.06832737432
98	0.0681956476
99	0.06806437278
100	0.06801594714
101	0.06791635773
102	0.06777407256
103	0.06771019603
104	0.06762220271
105	0.06752799803
106	0.06747999941
107	0.06739096758
108	0.06727476155
109	0.06713738934
110	0.06713565517
111	0.06704936054
112	0.0669810921
113	0.06693315166
114	0.06685106235
115	0.06681291099
116	0.06673049041
117	0.0665632963
118	0.06643474402
119	0.06632009711
120	0.06626226622
121	0.06628541721
122	0.06620687848
123	0.06612870278
124	0.06592111427
125	0.06582498664
126	0.06571313104
127	0.06566927194
128	0.06562300052
129	0.06545613722
130	0.06538366713
131	0.06530731937
132	0.06520823829
133	0.06517119262
134	0.06505185383
135	0.06494724678
136	0.06486820506
137	0.06478449496
138	0.0646699667
139	0.06459854576
140	0.06453930028
141	0.06450392692
142	0.06442343971
143	0.06429364104
144	0.06426865689
145	0.06417879666
146	0.06410714662
147	0.06405425726
148	0.06404536321
149	0.06397152383
150	0.06389615861
151	0.06384997271
152	0.06382231037
153	0.06376938881
154	0.06366375232
155	0.0636374624
156	0.06361211598
157	0.06358088886
158	0.06355721197
159	0.06350218624
160	0.06348840538
161	0.06347548532
162	0.06342178469
163	0.06340481374
164	0.06340663487
165	0.0633315177
166	0.06323105407
167	0.06318130857
168	0.06315315937
169	0.06301581852
170	0.06294237336
171	0.062884839
172	0.06285217938
173	0.06281897692
174	0.06280627038
175	0.06277356346
176	0.06271820845
177	0.06268897281
178	0.06265593051
179	0.06263479709
180	0.06253013562
181	0.06249916461
182	0.06248547233
183	0.0624588981
184	0.06238100568
185	0.06230800408
186	0.06228536603
187	0.06219029154
188	0.06218322401
189	0.06216818193
190	0.06209571684
191	0.06200807787
192	0.06194263928
193	0.06179185713
194	0.06176182972
195	0.0617520383
196	0.06170695959
197	0.06169730537
198	0.06168179121
199	0.06164954091
200	0.06164291951
201	0.0615928781
202	0.0615368597
203	0.06147884967
204	0.06145853543
205	0.06137889508
206	0.06136253822
207	0.06135654536
208	0.06128777356
209	0.06126753511
210	0.06123178611
211	0.06123682446
212	0.06119011793
213	0.06113806629
214	0.06111752923
215	0.06112457609
216	0.06107664443
217	0.06106353318
218	0.06100618377
219	0.06099128624
220	0.06097347841
221	0.0609359284
222	0.06092758052
223	0.0609298049
224	0.06090738094
225	0.06084688817
226	0.06084008591
227	0.0608183563
228	0.06077586447
229	0.06075518434
230	0.06076107773
231	0.06072612009
232	0.06055941597
233	0.06053256477
234	0.06049361679
