id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff
401756876,2025,1,regular,2025-08-28 23:30:00+00:00,False,True,False,False,,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,27,"[14, 3, 3, 7]",0.8100014328956604,1334.0,1334.0,2630,UT Martin,fcs,Big South-OVC,7,"[7, 0, 0, 0]",0.1899985671043396,,,3.472374103395647,,,2025-08-28 19:30:00-04:00,Thursday,7:30 PM,,
401756852,2025,1,regular,2025-08-29 00:00:00+00:00,False,True,False,False,,4728,TDECU Stadium,248,Houston,fbs,Big 12,27,"[7, 10, 7, 3]",1.0,1375.0,1375.0,2617,Stephen F. Austin,fcs,Southland,0,"[0, 0, 0, 0]",0.0,,,3.3544950535553952,,,2025-08-28 20:00:00-04:00,Thursday,8:00 PM,,
401752793,2025,1,regular,2025-08-29 00:00:00+00:00,False,True,False,False,,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,23,"[0, 10, 3, 10]",0.9927180409431458,1616.0,1625.0,2084,Buffalo,fbs,Mid-American,10,"[0, 3, 7, 0]",0.007281959056854248,1416.0,1407.0,4.44321876439467,,,2025-08-28 20:00:00-04:00,Thursday,8:00 PM,,
401762430,2025,1,regular,2025-08-29 00:30:00+00:00,False,True,False,False,,7221,Protective Stadium,5,UAB,fbs,American Athletic,52,"[10, 7, 21, 14]",0.622718095779419,1319.0,1319.0,2011,Alabama State,fcs,SWAC,42,"[7, 14, 7, 14]",0.37728190422058105,,,7.242758388206213,,,2025-08-28 20:30:00-04:00,Thursday,8:30 PM,,
401762791,2025,1,regular,2025-08-29 01:00:00+00:00,False,True,False,False,,347,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,17,"[3, 0, 7, 7]",1.0,1536.0,1573.0,193,Miami (OH),fbs,Mid-American,0,"[0, 0, 0, 0]",0.0,1528.0,1491.0,3.94006770879842,,,2025-08-28 21:00:00-04:00,Thursday,9:00 PM,,
401752796,2025,1,regular,2025-08-29 01:00:00+00:00,False,True,True,False,,3622,GEHA Field at Arrowhead Stadium,2132,Cincinnati,fbs,Big 12,17,"[3, 0, 7, 7]",0.6352569460868835,1475.0,1477.0,158,Nebraska,fbs,Big Ten,20,"[0, 13, 0, 7]",0.36474305391311646,1524.0,1522.0,6.207148038057158,,,2025-08-28 21:00:00-04:00,Thursday,9:00 PM,,
401760357,2025,1,regular,2025-08-29 02:00:00+00:00,False,True,False,False,,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,42,"[14, 6, 8, 14]",0.9745745062828064,1318.0,1318.0,2619,Stony Brook,fcs,CAA,0,"[0, 0, 0, 0]",0.025425493717193604,,,3.150955628954011,,,2025-08-28 22:00:00-04:00,Thursday,10:00 PM,,
401762432,2025,1,regular,2025-08-29 22:00:00+00:00,False,True,False,False,,3841,Michie Stadium,349,Army,fbs,American Athletic,27,"[7, 10, 7, 0, 3]",0.6962294578552246,1607.0,1607.0,2627,Tarleton State,fcs,UAC,30,"[3, 7, 7, 7, 6]",0.3037705421447754,,,6.9127413278628165,,,2025-08-29 18:00:00-04:00,Friday,6:00 PM,,
401754374,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,10,"[7, 0, 3, 0]",0.7367027401924133,1397.0,1394.0,338,Kennesaw State,fbs,Conference USA,9,"[6, 0, 3, 0]",0.26329725980758667,1266.0,1269.0,6.22130557202866,,,2025-08-29 19:00:00-04:00,Friday,7:00 PM,,
401761589,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,True,False,,3628,Bank of America Stadium,2429,Charlotte,fbs,American Athletic,11,"[3, 0, 0, 8]",0.042695220559835434,1254.0,1221.0,2026,App State,fbs,Sun Belt,34,"[0, 17, 10, 7]",0.9573047794401646,1428.0,1461.0,3.6672300484451488,,Duke’s Mayo Classic,2025-08-29 19:00:00-04:00,Friday,7:00 PM,,
