id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401752802,2025,1,regular,2025-08-29 23:00:00+00:00,False,False,False,False,,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,,,,1368.0,,2711,Western Michigan,fbs,Mid-American,,,,1345.0,,,,,2025-08-29,Friday,7:00 PM
401766898,2025,1,regular,2025-08-29 23:00:00+00:00,False,False,False,False,,2031,Pitbull Stadium,2229,Florida International,fbs,Conference USA,,,,1372.0,,2065,Bethune-Cookman,fcs,SWAC,,,,,,,,,2025-08-29,Friday,7:00 PM
401754374,2025,1,regular,2025-08-29 23:00:00+00:00,False,False,False,False,,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,,,,1397.0,,338,Kennesaw State,fbs,Conference USA,,,,1266.0,,,,,2025-08-29,Friday,7:00 PM
401761589,2025,1,regular,2025-08-29 23:00:00+00:00,False,False,True,False,,3628,Bank of America Stadium,2429,Charlotte,fbs,American Athletic,,,,1254.0,,2026,App State,fbs,Sun Belt,,,,1428.0,,,,Duke’s Mayo Classic,2025-08-29,Friday,7:00 PM
401756854,2025,1,regular,2025-08-29 23:30:00+00:00,False,False,False,False,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,,,,,,2681,Wagner,fcs,NEC,,,,,,,,,2025-08-29,Friday,7:30 PM
401752795,2025,1,regular,2025-08-29 23:30:00+00:00,False,False,False,False,,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,,,,1578.0,,2710,Western Illinois,fcs,Big South-OVC,,,,,,,,,2025-08-29,Friday,7:30 PM
401752667,2025,1,regular,2025-08-30 00:00:00+00:00,False,False,False,False,,4727,McLane Stadium,239,Baylor,fbs,Big 12,,,,1604.0,,2,Auburn,fbs,SEC,,,,1574.0,,,,,2025-08-29,Friday,8:00 PM
401754375,2025,1,regular,2025-08-30 00:00:00+00:00,False,False,False,False,,3726,Folsom Field,38,Colorado,fbs,Big 12,,,,1634.0,,59,Georgia Tech,fbs,ACC,,,,1536.0,,,,,2025-08-29,Friday,8:00 PM
401757224,2025,1,regular,2025-08-30 01:30:00+00:00,False,False,False,False,,3647,Elliott T. Bowers Stadium,2534,Sam Houston,fbs,Conference USA,,,,,,2439,UNLV,fbs,Mountain West,,,,1619.0,,,,,2025-08-29,Friday,9:30 PM
401760358,2025,1,regular,2025-08-30 02:30:00+00:00,False,False,False,False,,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,,,,1484.0,,2117,Central Michigan,fbs,Mid-American,,,,1235.0,,,,,2025-08-29,Friday,10:30 PM
