rank,school
1,Ohio State
2,Notre Dame
3,Oregon
4,Texas
5,Penn State
6,Georgia
7,Arizona State
8,Boise State
9,Tennessee
10,Indiana
11,Ole Miss
12,SMU
13,BYU
14,Clemson
15,Iowa State
16,Illinois
17,Alabama
18,Miami
19,South Carolina
20,Syracuse
21,Army
22,Missouri
23,UNLV
24,Memphis
25,Colorado
